authors,title,link,written,premiered,printed,source,id
"Андреев, Леонид Николаевич",К звёздам,https://dracor.org/rus/andreyev-k-zvezdam,1905,1906,,Библиотека Максима Мошкова (lib.ru),rus000194
"Андреев, Леонид Николаевич",Мысль,https://dracor.org/rus/andreyev-mysl,1913,1914,1914,Библиотека Максима Мошкова (lib.ru),rus000137
"Андреев, Леонид Николаевич",Не убий,https://dracor.org/rus/andreyev-ne-ubiy,1913,1913,1913,Библиотека Максима Мошкова (lib.ru),rus000138
"Афиногенов, Александр Николаевич",Машенька,https://dracor.org/rus/afinogenov-mashenka,1940,1941,1941,Wikisource,rus000167
"Бабель, Исаак Эммануилович",Мария,https://dracor.org/rus/babel-marija,1934,1964,1935,Wikilivres/Bibliowiki,rus000119
"Бабель, Исаак Эммануилович",Закат,https://dracor.org/rus/babel-zakat,,1927,1928,Wikilivres/Bibliowiki,rus000118
"Бельский, Владимир Иванович",Сказание о невидимом граде Китеже и деве Февронии,https://dracor.org/rus/belsky-skazanie-o-nevidimom-grade-kitezhe,1903,1907,1907,Библиотека Максима Мошкова (lib.ru),rus000205
"Блок, Александр Александрович",Балаганчик,https://dracor.org/rus/blok-balaganchik,1906,1906,1906,Библиотека Максима Мошкова (lib.ru),rus000022
"Блок, Александр Александрович",Король на площади,https://dracor.org/rus/blok-korol-na-ploschadi,1906,,1907,Библиотека Максима Мошкова (lib.ru),rus000075
"Блок, Александр Александрович",Незнакомка,https://dracor.org/rus/blok-neznakomka,1906,1913,1907,Библиотека Максима Мошкова (lib.ru),rus000074
"Булгаков, Михаил Афанасьевич",Адам и Ева,https://dracor.org/rus/bulgakov-adam-i-eva,1931,,1971,Библиотека Максима Мошкова (lib.ru),rus000193
"Булгаков, Михаил Афанасьевич",Батум,https://dracor.org/rus/bulgakov-batum,1939,1992,1977,Библиотека Максима Мошкова (lib.ru),rus000192
"Булгаков, Михаил Афанасьевич",Бег,https://dracor.org/rus/bulgakov-beg,1928,1957,,Библиотека Максима Мошкова (lib.ru),rus000134
"Булгаков, Михаил Афанасьевич",Дни Турбиных,https://dracor.org/rus/bulgakov-dni-turbinyh,1926,1926,1955,Интернет-библиотека Алексея Комарова,rus000073
"Булгаков, Михаил Афанасьевич",Иван Васильевич,https://dracor.org/rus/bulgakov-ivan-vasilevich,1936,1967,1965,Библиотека Максима Мошкова (lib.ru),rus000083
"Булгаков, Михаил Афанасьевич",Кабала святош (Мольер),https://dracor.org/rus/bulgakov-kabala-svjatosh,,1936,1962,Библиотека Максима Мошкова (lib.ru),rus000090
"Булгаков, Михаил Афанасьевич",Полоумный Журден,https://dracor.org/rus/bulgakov-poloumnyj-zhurden,1932,,1965,Библиотека Максима Мошкова (lib.ru),rus000141
"Булгаков, Михаил Афанасьевич",Последние дни (Пушкин),https://dracor.org/rus/bulgakov-poslednie-dni,1935,1943,1955,Библиотека Максима Мошкова (lib.ru),rus000087
"Булгаков, Михаил Афанасьевич",Война и мир,https://dracor.org/rus/bulgakov-vojna-i-mir,1932,,1986,Библиотека Максима Мошкова (lib.ru),rus000191
"Булгаков, Михаил Афанасьевич",Зойкина квартира,https://dracor.org/rus/bulgakov-zojkina-kvartira,1925,1926,1929,Библиотека Максима Мошкова (lib.ru),rus000170
"Глинка, Фёдор Николаевич","Вельзен, или освобожденная Голландия",https://dracor.org/rus/glinka-velzen,1808,,1810,Библиотека Максима Мошкова (lib.ru),rus000121
"Гоголь, Николай Васильевич",Театральный разъезд после представления новой комедии,https://dracor.org/rus/gogol-teatralnyi-razezd,1842,,1842,Интернет-библиотека Алексея Комарова,rus000053
"Гоголь, Николай Васильевич",Тяжба,https://dracor.org/rus/gogol-tjazhba,1836,1844,1842,Интернет-библиотека Алексея Комарова,rus000052
"Гоголь, Николай Васильевич",Утро делового человека,https://dracor.org/rus/gogol-utro-delovogo-cheloveka,1836,,1836,Интернет-библиотека Алексея Комарова,rus000051
"Гоголь, Николай Васильевич",Женитьба,https://dracor.org/rus/gogol-zhenitba,1835,1842,1842,Интернет-библиотека Алексея Комарова,rus000050
"Гоголь, Николай Васильевич",Игроки,https://dracor.org/rus/gogol-igroki,1842,1843,1842,Интернет-библиотека Алексея Комарова,rus000088
"Гоголь, Николай Васильевич",Лакейская,https://dracor.org/rus/gogol-lakeiskaja,1840,,1842,Интернет-библиотека Алексея Комарова,rus000056
"Гоголь, Николай Васильевич",Отрывок,https://dracor.org/rus/gogol-otryvok,1842,,1842,Интернет-библиотека Алексея Комарова,rus000055
"Гоголь, Николай Васильевич",Ревизор,https://dracor.org/rus/gogol-revizor,1835,1836,1836,Интернет-библиотека Алексея Комарова,rus000054
"Горький, Максим",Егор Булычов и другие,https://dracor.org/rus/gorky-egor-bulychov-i-drugie,1931,1932,1932,Интернет-библиотека Алексея Комарова,rus000049
"Горький, Максим",На дне,https://dracor.org/rus/gorky-na-dne,1902,1902,1903,Интернет-библиотека Алексея Комарова,rus000048
"Горький, Максим",Васса Железнова (Мать),https://dracor.org/rus/gorky-vassa-zheleznova,1910,1936,1910,Библиотека Максима Мошкова (lib.ru),rus000163
"Грибоедов, Александр Сергеевич",Горе от ума,https://dracor.org/rus/griboyedov-gore-ot-uma,1824,,1825,Интернет-библиотека Алексея Комарова,rus000047
"Грибоедов, Александр Сергеевич",Молодые супруги,https://dracor.org/rus/griboyedov-molodye-suprugi,,1815,1815,Библиотека Максима Мошкова (lib.ru),rus000151
"Гумилёв, Николай Степанович",Гондла,https://dracor.org/rus/gumilyov-gondla,1916,1920,1917,Wikisource,rus000043
"Гумилёв, Николай Степанович",Актеон,https://dracor.org/rus/gumilyov-akteon,1913,,1913,Wikisource,rus000046
"Гумилёв, Николай Степанович",Дитя Аллаха,https://dracor.org/rus/gumilyov-ditja-allaha,1916,1922,1917,Wikisource,rus000045
"Гумилёв, Николай Степанович",Дон-Жуан в Египте,https://dracor.org/rus/gumilyov-don-zhuan-v-egipte,1911,1913,1911,Wikisource,rus000044
"Дашкова, Екатерина Романовна",Тоисиоков,https://dracor.org/rus/dashkova-toisiokov,,,1786,Библиотека Максима Мошкова (lib.ru),rus000109
"Загоскин, Михаил Николаевич",Благородный театр,https://dracor.org/rus/zagoskin-blagorodnyj-teatr,1828,1828,1828,Библиотека Максима Мошкова (lib.ru),rus000148
"Капнист, Василий Васильевич",Антигона,https://dracor.org/rus/kapnist-antigona,,1814,1849,Русская виртуальная библиотека (rvb.ru),rus000114
"Капнист, Василий Васильевич",Ябеда,https://dracor.org/rus/kapnist-yabeda,1798,1798,1798,Русская виртуальная библиотека (rvb.ru),rus000125
"Кедрин, Дмитрий Борисович",Рембрандт,https://dracor.org/rus/kedrin-rembrandt,1938,,1940,Библиотека Максима Мошкова (lib.ru),rus000129
"Княжнин, Яков Борисович",Чудаки,https://dracor.org/rus/knyazhnin-chudaki,1790,,1793,Русская виртуальная библиотека (rvb.ru),rus000140
"Княжнин, Яков Борисович",Дидона,https://dracor.org/rus/knyazhnin-didona,1769,1769,1790,Русская виртуальная библиотека (rvb.ru),rus000127
"Княжнин, Яков Борисович",Хвастун,https://dracor.org/rus/knyazhnin-hvastun,1785,1785,1786,Русская виртуальная библиотека (rvb.ru),rus000139
"Княжнин, Яков Борисович","Неудачный примиритель, или Без обеду домой поеду",https://dracor.org/rus/knyazhnin-neudachnyj-primiritel,,1790,1787,Русская виртуальная библиотека (rvb.ru),rus000166
"Княжнин, Яков Борисович",Ольга,https://dracor.org/rus/knyazhnin-olga,1772,,,Русская виртуальная библиотека (rvb.ru),rus000108
"Княжнин, Яков Борисович",Росслав,https://dracor.org/rus/knyazhnin-rosslav,,1784,1784,Русская виртуальная библиотека (rvb.ru),rus000154
"Княжнин, Яков Борисович","Траур, или Утешенная вдова",https://dracor.org/rus/knyazhnin-traur,1787,1789,1803,Русская виртуальная библиотека (rvb.ru),rus000168
"Княжнин, Яков Борисович",Вадим Новгородский,https://dracor.org/rus/knyazhnin-vadim-novgorodskij,1789,,1793,Русская виртуальная библиотека (rvb.ru),rus000136
"Кокошкин, Фёдор Фёдорович","Воспитание, или вот приданое",https://dracor.org/rus/kokoshkin-vospitanie,1823,1824,1824,Библиотека Максима Мошкова (lib.ru),rus000147
"Кропотов, Пётр Андреевич",Фомушка – бабушкин внучек,https://dracor.org/rus/kropotov-fomushka,1785,,1790,Библиотека Максима Мошкова (lib.ru),rus000115
"Крылов, Иван Андреевич",Американцы,https://dracor.org/rus/krylov-amerikantsy,1788,1800,,Wikisource,rus000041
"Крылов, Иван Андреевич",Филомела,https://dracor.org/rus/krylov-filomela,1786,,1793,Русская виртуальная библиотека (rvb.ru),rus000107
"Крылов, Иван Андреевич",Модная лавка,https://dracor.org/rus/krylov-modnaja-lavka,,1806,1807,Русская виртуальная библиотека (rvb.ru),rus000102
"Крылов, Иван Андреевич",Пирог,https://dracor.org/rus/krylov-pirog,1801,,1869,Русская виртуальная библиотека (rvb.ru),rus000113
